city,total_samples,correct,accuracy,avg_confidence,avg_distance_km,top_mistake,mistake_count
Milwaukee,23,23,1.0,0.7837377112844716,5.891329767722943,N/A,0
Louisville,23,22,0.9565217391304348,0.7769147753715515,20.79246108339641,Indianapolis,1
Fresno,21,20,0.9523809523809523,0.7606663136255174,20.912618936346874,Los Angeles,1
Philadelphia,19,18,0.9473684210526315,0.7114365155759611,14.95924049831777,Baltimore,1
Miami,17,16,0.9411764705882353,0.8322777818231022,22.653269071991055,Tampa,1
New York,17,16,0.9411764705882353,0.8431397290790782,15.626792364985544,Philadelphia,1
Colorado Springs,17,16,0.9411764705882353,0.7459495733765995,95.61777293481862,San Jose,1
Charlotte,16,15,0.9375,0.8081574067473412,35.22543117147202,Washington,1
Raleigh,22,20,0.9090909090909091,0.7689509290185842,78.92340877541861,Atlanta,1
Tampa,22,20,0.9090909090909091,0.7593450139869343,27.840674949158423,Jacksonville,2
Jacksonville,20,18,0.9,0.6986445356160402,158.72344934305426,Mesa,1
Albuquerque,17,15,0.8823529411764706,0.7140646086019629,69.92981550528486,El Paso,1
Sacramento,17,15,0.8823529411764706,0.6576548884896671,32.1532422888378,Fresno,2
Phoenix,16,14,0.875,0.7340136328712106,16.143876972162744,Mesa,2
Portland,22,19,0.8636363636363636,0.7877799424935471,122.66082245148723,Phoenix,1
Chicago,20,17,0.85,0.7138052847236395,140.8904422234471,Indianapolis,1
Denver,13,11,0.8461538461538461,0.7513824174037347,84.26152714913367,Colorado Springs,1
Bakersfield,25,21,0.84,0.7110653376579285,281.40621471725024,Indianapolis,1
Baltimore,6,5,0.8333333333333334,0.7019668519496918,25.503701464151273,Philadelphia,1
Houston,18,15,0.8333333333333334,0.6721632712417178,224.2829235979142,Dallas,1
Las Vegas,23,19,0.8260869565217391,0.7403361496070157,109.49828603404538,Mesa,3
Austin,17,14,0.8235294117647058,0.651922410901855,205.08759890168324,Charlotte,1
San Francisco,17,14,0.8235294117647058,0.792156226494733,371.572376946781,Seattle,2
Omaha,15,12,0.8,0.6440362627307574,335.84870393674026,Mesa,3
Mesa,14,11,0.7857142857142857,0.4353544855756419,308.1825798230623,Charlotte,1
Nashville,18,14,0.7777777777777778,0.5794212946461307,213.53798159021233,Atlanta,1
Memphis,18,14,0.7777777777777778,0.6877901690701643,208.35491179949688,Atlanta,2
Long Beach,13,10,0.7692307692307693,0.6843670767087203,47.219678285873826,Los Angeles,2
Wichita,17,13,0.7647058823529411,0.7659586948506972,105.03711501404474,Minneapolis,1
Seattle,20,15,0.75,0.7550560295581817,188.31876010428755,Portland,4
San Antonio,20,15,0.75,0.7328051835298538,239.75703545029464,Austin,1
Oakland,18,13,0.7222222222222222,0.6600666559404798,2996.4536247948954,San Jose,4
San Diego,14,10,0.7142857142857143,0.5973178488867623,338.6244341563056,Jacksonville,1
Tulsa,17,12,0.7058823529411765,0.7329258568146649,87.4049599424544,Fort Worth,2
Tucson,10,7,0.7,0.5210188202559948,61.363050601169846,Mesa,3
Minneapolis,18,12,0.6666666666666666,0.6607269735799896,476.0008607020243,Detroit,2
Los Angeles,20,13,0.65,0.62620257884264,304.9110617846204,Long Beach,2
Indianapolis,20,13,0.65,0.6007020715624094,307.7937130854021,Columbus,3
Oklahoma City,17,11,0.6470588235294118,0.6477709105786156,258.7409067952489,Atlanta,2
Detroit,14,9,0.6428571428571429,0.5932793101029736,676.1664811526227,Mesa,2
Fort Worth,14,9,0.6428571428571429,0.62036751636437,79.71683405688786,Dallas,2
El Paso,11,7,0.6363636363636364,0.5874109559438445,186.29782117040412,Mesa,3
Atlanta,19,12,0.631578947368421,0.6646580558858419,379.84754600833656,Memphis,2
Washington,10,6,0.6,0.6526104927062988,288.977564659127,Charlotte,1
Columbus,25,13,0.52,0.5727548831701279,160.71191098331104,Detroit,7
Kansas City,14,7,0.5,0.5123082351471696,451.9295295028296,Dallas,1
Dallas,13,6,0.46153846153846156,0.4566291192403206,285.2960477150662,Austin,2
San Jose,18,7,0.3888888888888889,0.5161661497420735,1112.2516328514967,Los Angeles,2
Boston,4,1,0.25,0.5024708081036806,2116.8956958480485,Mesa,1
Virginia Beach,2,0,0.0,0.077540822327137,3259.3854270322527,Mesa,2
